Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
Universal Principles of Data Ethics,Accenture,https://www.accenture.com/t20160629T012639Z__w__/us-en/_acnmedia/PDF-24/Accenture-Universal-Principles-Data-Ethics.pdf new URL https://fr.scribd.com/document/450122018/Accenture-Universal-Principles-Data-Ethics#,,,,USA,,,,not included,not ai ethics,0,,,,,,,,,1,1,,,2,Tiphaine,,,
Responsible AI and robotics. An ethical framework.,Accenture UK,https://www.accenture.com/gb-en/company-responsible-ai-robotics,.,.,industry,UK,2018,,,Not included,initial url does not work and couldn't find new url,0,1,,,,,,,,1,1,,,3,Maria,,,
Human rights in the age of Artificial Intelligence,Access Now,https://www.accessnow.org/cms/assets/uploads/2018/11/AI-and-Human-Rights.pdf,.,.,,,,,,included,,1,,1,,,,,1,,,1,,,3,Tiphaine,,,
The Toronto Declaration: Protecting the right to equality and non-discrimination in machine learning systems,Access Now ; Amnesty International,https://www.torontodeclaration.org/declaration-text/english/,"Anna Bacciarelli, Joe Westby, Fanny Hidvegi, Estelle Massé, Drew Mitnick","Access Now, AI Now Institute at New York University, AfroLeadership, AlgorithmWatch, Amnesty International, Article 19, Big Brother Watch, Business & Human Rights Resource Centre, Electronic Frontiers Australia, Embassy of the Republic of Užupis to Munich, Fourth Estate Public Benefit Corporation, Future Advocacy, GLAAD, Homo Digitalis, Human Rights Watch, Internet Policy Observatory Pakistan and Artificial Intelligence Pakistan, Paradigm Initiative Nigeria, Privacy Salon, SonTusDatos – Artículo 12, A.C., ThingsCon, Web Foundation, Wikimedia Foundation, WITNESS, Women@theTable, Center for Human Rights Science at Carnegie Mellon University, eQuality Project at University of Ottawa, Samuelson-Glushko Canadian Internet Policy & Public Interest Clinic (CIPPIC) at University of Ottawa, ArCompany, Element AI, Mathias Risse, Faculty Director, The Carr Center for Human Rights Policy at Harvard, Vivek Krishnamurthy, Harvard Law School / Berkman Klein Center for Internet & Society at Harvard, John C Havens, Executive Director, The IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems, Raheena Dahya, Lawyer (Canada and England), Steven Feldstein, Associate Professor at Boise State University, Douwe Korff, Emeritus Professor of International Law at London Metropolitan University",civil society,UK,2018-05-16,,,included,,1,1,1,,,,,1,,1,1,1,1,7,Tiphaine,,,
Europe’s approach to artificial intelligence: how AI strategy is evolving,AccessNow,https://www.accessnow.org/wp-content/uploads/2020/12/Europes-approach-to-AI-strategy-is-evolving.pdf,,,,USA,2020-12,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Human Rights Impact Assessments for AI: Analysis and Recommendations,AccessNow,https://www.accessnow.org/cms/assets/uploads/2022/11/Access-Now-Version-Human-Rights-Implications-of-Algorithmic-Impact-Assessments_-Priority-Recommendations-to-Guide-Effective-Development-and-Use.pdf,,,,USA,2022-11,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Mapping Regulatory Proposals for AI in Europe,AccessNow,accessnow.org/wp-content/uploads/2018/11/mapping_regulatory_proposals_for_AI_in_EU.pdf,,,,USA,2018-11,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
Regulating AI in Europe: four problems and four solutions,Ada Lovelace Institute,https://www.adalovelaceinstitute.org/wp-content/uploads/2022/03/Expert-opinion-Lilian-Edwards-Regulating-AI-in-Europe.pdf,,,,UK,,,,included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
Ethics Canvas,Adapt Center,https://www.ethicscanvas.org/index.html,,,,Ireland,,,,not included,not ai ethics,0,,,1,,,,,,,1,,,2,Tiphaine,,,
Algorithm Data Ethics Label,ADEL,http://www.adel-label.com/adel/,,,,France,,,,not included,not in english,0,,,,,,,,,1,1,,,2,Tiphaine,,,
Taking an ethical approach to artificial intelligence.,Adobe,https://www.adobe.com/about-adobe/aiethics.html,,,,,,,,included,,1,,,,,,1,,,,,,,1,Tiphaine,,,
Report on Artificial Intelligence and Human Society (Unofficial translation),Advisory Board on Artificial Intelligence and Human Society (initiative of the Minister of State for Science and Technology Policy),https://www8.cao.go.jp/cstp/tyousakai/ai/summary/aisociety_en.pdf,,,,Japan,,,,included,SPI,1,1,,,,,,,,1,1,,,3,Tiphaine,,,
Artificial Intelligence at the service of the citizen,Agenzia per l'Italia Digitale (AGID),https://ai-white-paper.readthedocs.io/en/latest/,"Andrus Ansip, Antonio Samaritani",.,national authority,Italy,2018-03-21,,,included,,1,1,,,,,,,,1,1,,,3,Tiphaine,,,
AI Roadmap,AI Council (United Kingdom),https://assets.publishing.service.gov.uk/media/5ff3bc6e8fa8f53b76ccee23/AI_Council_AI_Roadmap.pdf,,,,UK,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Trustworthy AI in Aotearoa,AI Forum,https://data.govt.nz/assets/data-ethics/algorithm/Trustworthy-AI-in-Aotearoa-March-2020.pdf,,,,New Zealand,,,,included,,1,,,1,,,1,,,,,,,2,Tiphaine,,,
AI Now 2017 Report,AI Now Institute,https://ainowinstitute.org/wp-content/uploads/2023/04/AI_Now_2017_Report.pdf,,,,USA,,,,included,SPI,1,1,,,1,,,,,,,,,2,Tiphaine,,,
AI Now 2018 Report,AI Now Institute,https://ainowinstitute.org/wp-content/uploads/2023/04/AI_Now_2018_Report.pdf,,,,USA,,,,included,SPI,1,1,,,1,,,,,1,1,,,4,Tiphaine,,,
AI Now,AI Now 2023 report,https://ainowinstitute.org/wp-content/uploads/2023/04/AI-Now-2023-Landscape-Report-FINAL.pdf,,,,,,,,included,SPI,1,,,,,,,,,,,,,,Tiphaine,,,
AI Now 2019 Report,AI Now Institute,https://ainowinstitute.org/wp-content/uploads/2023/04/AI_Now_2019_Report.pdf,,,,USA,,,,included,SPI,1,,,,1,,,1,,,,,,2,Tiphaine,,,
AI Now Report 2016. The Social and Economic Implications of Artificial Intelligence Technologies in the Near-Term,AI Now Institute,https://artificialintelligencenow.com/media/documents/AINowSummaryReport_3_RpmwKHu.pdf,,,,USA,,,,included,SPI,1,1,,,1,,,,,,,,,2,Tiphaine,,,
Artificial intelligence impact assessment,AI Recht,https://airecht.nl/s/Artificial-Intelligence-Impact-Assessment-English.pdf,,,,Netherlands,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
AI4Belgium: AI National Strategy,AI4Belgium Coalition,https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf,,,,Belgium,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",AI4People; Atomium-EISMD,https://link.springer.com/content/pdf/10.1007/s11023-018-9482-5.pdf,"Luciano Floridi, Josh Cowls, Monica Beltrametti, Raja Chatila, Patrice Chazerand, Virginia Dignum, Christoph Luetge, Robert Madelin, Ugo Pagallo, Francesca Rossi, Burkhard Schafer, Peggy Valcke, Effy Vayena",.,academia,EU,2018-11-26,,,included,,1,1,,1,1,,,1,1,1,1,,,7,Tiphaine,,,
From Principles to Practice: An interdisciplinary framework to operationalise AI ethics,AIEI Group,https://www.ai-ethics-impact.org/resource/blob/1961130/c6db9894ee73aefa489d6249f5ee2b9f/aieig---report---download-hb-data.pdf,,,,Germany,,,,included,SPI,1,,,1,,,,,,,,,,1,Tiphaine,,,
Overview of National AI-Strategies,AISOMA,https://www.aisoma.de/wp-content/uploads/2021/01/Overview-of-National-AI-Strategies.pdf,,,,Germany,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
A toolkit for centering racial equity throughout data integration,AISP,https://aisp.upenn.edu/wp-content/uploads/2022/07/AISP-Toolkit_5.27.20.pdf,,,,USA,,,,not included,tool,0,,,1,,,,,,,,,,1,Tiphaine,,,
Automating Society Report,AlgorithmWatch,https://automatingsociety.algorithmwatch.org/report2020/policy-recommendations/,,,,Germany,,,,included,SPI digital,1,,,,,,,,,,1,,,1,Mel,,,
Ethics and algorithmic processes for decision making and decision support,AlgorithmWatch,https://algorithmwatch.org/wp-content/uploads/2017/06/AlgorithmWatch_Working-Paper_No_2_Ethics_ADM.pdf,,,,Germany,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
Taking Stock of Automated Decision-Making in the EU,AlgorithmWatch,https://algorithmwatch.org/wp-content/uploads/2019/01/Automating_Society_Report_2019.pdf,,,,Germany,,,,included,SPI,1,,,,,,,,,,1,,,1,Tiphaine,,,
AI and Human Rights,All Tech is Human,https://alltechishuman.org/ai-human-rights-report,,,,USA,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence Act: Analysis & Recommendations,ALLAI,https://allai.nl/wp-content/uploads/2021/08/EU-Proposal-for-Artificial-Intelligence-Act-Analysis-and-Recommendations.pdf,,,,Netherlands,,,,included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
How to regulate AI,"Allen Institute for Artificial Intelligence – AI2 (Oren Etzioni, professor of Computer Science)",https://www.nytimes.com/2017/09/01/opinion/artificial-intelligence-regulations-rules.html,,,,USA,,,,not included,not accessible,0,,,,,,1,,,,1,,,2,Tiphaine,,,
ADP: Ethics in Artificial Intelligence,Always Designing for People,https://www.adp.com/-/media/adp/redesign2018/pdf/data-privacy/ai-ethics-statement.pdf?rev=f155df771fea4850b310f17ca407f3f1&hash=73364D9FB41931A7C1887B976538BE5C,,,,,,,,included,,1,,,,,,1,,,,,,,1,Tiphaine,,,
Ethics of AI in Radiology: European and North American Multisociety Statement,American College of Radiology; European Society of Radiology; Radiology Society of North America; Society for Imaging Informatics in Medicine; European Society of Medical Imaging Informatics; Canadian Association of Radiologists; American Association of Physicists in Medicine,https://www.acr.org/-/media/ACR/Files/Informatics/Ethics-of-AI-in-Radiology-European-and-North-American-Multisociety-Statement--6-13-2019.pdf,,,,international,,,,included,field-specific,1,1,,,,,,,,1,,,,2,Tiphaine,,,
Policy Recommendations on Augmented Intelligence in Health Care H-480.940,American Medical Association (AMA),https://policysearch.ama-assn.org/policyfinder/detail/augmented%20intelligence?uri=%2FAMADoc%2FHOD.xml-H-480.940.xml,.,.,civil society,USA,2018,,,included,field-specific,1,1,,,,,,,,1,1,,,3,Tiphaine,,,
Defining AMIA's artificial intelligence principles,American Medical Informatics Association (AMIA),https://academic.oup.com/jamia/article/29/4/585/6534106?login=true,"Anthony E Solomonides, Eileen Koski, Shireen M Atabaki, Scott Weinberg, John D McGreevey, Joseph L Kannry, Carolyn Petersen, Christoph U Lehmann",.,civil society,USA,2022-04,,,included,field-specific,1,,,,,,,,,,,,,0,Mel,,,
Safety First for Automated Driving – Proposed technical standards for the development of Automated Driving,"Aptiv, Audi, BMW, Daimler and other automotive companies",https://www.heise.de/downloads/18/2/7/0/8/1/7/0/safety-first-for-automated-driving.pdf,,,,Germany,,,,included,SPI field-specific,1,,,,,,,,,1,1,,,2,Mel,,,
Trust Manifesto,ArmAI,https://www.arm.com/blogs/blueprint/wp-content/uploads/2019/11/Arm-AI-Trust-Manifesto-2019.pdf,.,.,industry,UK,2019-11-06,"tech, manifesto",,included,,1,,,,,,,,,,,,,0,Mel,,,
Guidelines on Automated individual decision-making and Profiling for the purposes of Regulation 2016/679,Article 29 Working Party,https://ec.europa.eu/newsroom/document.cfm?doc_id=47742,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
It’s Time to Do Something: Mitigating the Negative Impacts of Computing Through a Change to the Peer Review Process,Association for Computing Machinery - Future of Computing Machinery,https://perma.cc/K22T-5DFU,,,,USA,,,,not included,not AI ethics,0,,,,,,,,,1,,,,1,Mel,,,
Policy Statement on Mandatory Engineered Law Enforcement Access,Association for Computing Machinery - Future of Computing Machinery,https://www.acm.org/binaries/content/assets/public-policy/usacm/2018-usacm-statement-law-enforcement-access.pdf,,,,USA,,,,not included,not AI ethics,0,,,,,,,,1,,,,,1,Mel,,,
"Statement on Accessibility, Usability, and Digital Inclusiveness",Association for Computing Machinery - Future of Computing Machinery,https://www.acm.org/binaries/content/assets/public-policy/2017_usacm_statement_accessibility.pdf,,,,USA,,,,included,digital,1,,,,,,,,1,,,,,1,Mel,,,
Statement on Computing and Network Security,Association for Computing Machinery - Future of Computing Machinery,https://www.acm.org/binaries/content/assets/public-policy/2017_usacm_statement_computingandnetworksecurity.pdf,,,,EU,,,,included,digital issue-specific,1,,,,,,,,1,,,,,1,Mel,,,
Statement on Internet of Things Privacy and Security,Association for Computing Machinery - Future of Computing Machinery,https://www.acm.org/binaries/content/assets/public-policy/2017_joint_statement_iotprivacysecurity.pdf,,,,USA,,,,not included,not AI ethics,0,,,,,,,,1,,,,,1,Mel,,,
ACM Code of Ethics and Professional Conduct,Association for Computing Machinery (ACM),https://www.acm.org/code-of-ethics,,,,USA,,,,not included,not AI ethics,0,,,,,,,,,,,,1,1,Mel,,,
Statement on Algorithmic Transparency and Accountability,Association for Computing Machinery (ACM),https://www.acm.org/binaries/content/assets/public-policy/2017_usacm_statement_algorithms.pdf,,,civil society,USA,12/1/2017,,,included,digital issue-specific,1,1,,,,,1,,1,1,1,1,,6,Mel,,,
Addressing Ethical Dilemmas in AI: Listening to Engineers,"Association of Nordic Engineers, IEEE, the Data Ethics ThinkDoTank (DataEthics.eu), University of Copenhagen",https://standards.ieee.org/initiatives/autonomous-intelligence-systems/ethical-dilemmas-ai-report/,,,,USA,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Mel,,,
Artificial Intelligence. Australia's Ethics Framework. A discussion paper,Australian Government - Department of Industry Innovation and Science,https://www.csiro.au/-/media/D61/Reports/Artificial-Intelligence-ethics-framework.pdf,"Dawson D, Schleiger E, Horton J, McLaughlin J, Robinson C, Quezada G, Scowcroft J, Hajkowicz S","CSIRO, Data61",national authority,Australia,2019,,,included,SPI,1,1,,,,,1,,,1,1,1,,5,Mel,,,
Human Rights and Technology,Australian Human Rights Commission,https://tech.humanrights.gov.au/sites/default/files/2021-05/AHRC_RightsTech_2021_Final_Report.pdf,,,,Australia,,,,not included,not accessible,0,,,,,,,,,,0,,,0,Mel,,,
Special report: Artificial Intelligence - Your questions answered,"Australian Strategic Policy Institute (ASPI), University of Adelaide, Australian Institute for Machine Learning",https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2023-01/SR183%20AI%20Your%20questions%20answered.pdf?VersionId=RDGO41fuPaLXTscqQt0SKCfOkLU0G7.6,,,,Australia,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Recommandation on strategy creation process (AIM AT 2030),Austrian Council For Robotics And Artificial Intelligence,https://www.acrai.at/wp-content/uploads/2019/04/190315_Ratsempfehlung_zum_Strategieprozess_AIM_AT_2030.pdf,,,,Austria,,,,Not included,not accessible,0,,,,,,,,,,1,,,1,Mel,,,
White Paper - Shaping the Future of Austria with Robotics and Artificial Intelligence,Austrian Council For Robotics And Artificial Intelligence,https://www.bmk.gv.at/dam/jcr:8acef058-7167-4335-880e-9fa341b723c8/aimat_ua.pdf,,,,Austria,,,,not included,not english,0,,,,,,,,,,1,,,1,Mel,,,
Governance of Artificial Intelligence in Finance,Autorité de contrôle prudentiel et de résolution (ACPR - France),https://acpr.banque-france.fr/sites/default/files/medias/documents/20200612_ai_governance_finance.pdf,,,,France,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Mel,,,
Axon committed to listening and learning so that we can fulfill our mission to protect life together,Axon,https://www.axon.com/news/technology/axon-committed-to-listening-and-learning,,,,USA,,,,Not included,not AI ethics,0,,,,,,,1,,,,,,1,Mel,,,
The Future of Digital Justice,"BCG, Bucerius Law School, LegalTech Deutschland",https://web-assets.bcg.com/3a/4a/66275bf64d92b78b8fabeb3fe705/22-05-31-the-future-of-digital-justice-bls-bcg-web.pdf,,,,Germany,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Principled Artificial Intelligence,Berkman Klein Center (University of Harvard),https://ssrn.com/abstract=3518482,,,,USA,,,,Not included,meta-analysis,0,,,,,,,,,,1,,,1,Mel,,,
Algo.Rules,"Bertelsmann Stiftung, iRights.lab",https://algorules.org/en/home/,.,.,civil society,Germany,2019,,,included,digital,1,,,,,,,,,1,1,,,2,Mel,,,
Ethical issues arising from the police use of live facial recognition technology,Biometrics and Forensics Ethics Group (BFEG),https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/781745/Facial_Recognition_Briefing_BFEG_February_2019.pdf,,,,UK,,,,included,SPI techno-specific field-specific,1,,,,,,,,,,,1,,1,Mel,,,
"Artificial Intelligence Economic importance, social challenges, human responsibility",Bitkom,https://www.bitkom.org/sites/default/files/file/import/171101-PP-Artificial-Intelligence-ENG-Web.pdf,,,,Germany,,,,included,SPI,1,,,,,,,,,,0,,,0,Mel,,,
Guidelines for Big Data Use - Leitlinien für Big Data Einsatz,Bitkom,https://www.bitkom.org/sites/default/files/file/import/150901-Bitkom-Positionspapier-Big-Data-Leitlinien.pdf,,,,Germany,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Recommendations for the responsible use of AI and automated decisions - Empfehlungen für den verantwortlichen Einsatz von KI und automatisierten Entscheidungen,Bitkom,https://www.bitkom.org/Bitkom/Publikationen/Empfehlungen-fuer-den-verantwortlichen-Einsatz-von-KI-und-automatisierten-Entscheidungen-Corporate-Digital-Responsibility-and-Decision-Making.html,,,,Germany,,,,Not included,not in english,0,,,,,,,,,1,1,,,2,Mel,,,
The AI Manifesto,BlackBerry,https://blogs.blackberry.com/en/2019/09/the-ai-manifesto,.,.,industry,USA,2019-11-09,,,included,,1,,,,,,,,,,,,,0,Mel,,,
Brazilian Strategy for Digital Transformation,"Brazil’s Ministry of Science, Technology, Innovations and Communications",https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/estrategia-digital-brasileira/digitalstrategy.pdf,,,,Brazil,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Towards an AI Strategy in Mexico. Harnessing the AI Revolution,British Embassy Mexico City,https://7da2ca8d-b80d-4593-a0ab-5272e2b9c6c5.filesusr.com/ugd/7be025_e726c582191c49d2b8b6517a590151f6.pdf,,,,UK,,,,included,SPI,1,,1,,,,,1,,,1,,,3,Mel,,,
"Strengthening international cooperation on AI, Progress report","Brookings, Centre for European Policy Studies",https://www.brookings.edu/wp-content/uploads/2021/10/Strengthening-International-Cooperation-AI_Oct21.pdf,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
AI Quality Seal - KI Gütesiegel,Bundesverband KI,https://ki-verband.de/ki-guetesiegel-ai-made-in-germany,,,,Germany,,,,Not included,not in english,0,,,,,,,,,1,1,,,2,Mel,,,
"Regulating AI to protect the consumer: 
 Position Paper on the AI Act",Bureau européen des Unions des Consommateurs (BEUC),https://www.beuc.eu/publications/beuc-x-2021-088_regulating_ai_to_protect_the_consumer.pdf,,,,Belgium,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Social Principles of Human-Centric AI,Cabinet Office (Japan),https://www.cas.go.jp/jp/seisaku/jinkouchinou/pdf/humancentricai.pdf,,,national authority,Japan,2019-02-15,,,included,,1,,1,,,,1,1,,,1,,,4,Mel,,,
Statement on Artificial Intelligence,"Canada, France",https://www.international.gc.ca/world-monde/international_relations-relations_internationales/europe/2018-06-07-france_ai-ia_france.aspx?lang=eng,,,,international,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Exploratory study on the use of algoritms by government organisations,CBS (Statistics Netherlands),https://www.cbs.nl/-/media/_pdf/2018/48/verkennend%20onderzoek%20naar%20het%20gebruik%20van%20algoritmen%20binnen%20overheidsorganisaties.pdf,,,,Netherlands,,,,not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Digital Decisions,Center for Democracy & Technology,https://cdt.org/wp-content/uploads/2015/04/Digital-Decisions-Project-Description.pdf,,,,USA,,,,included,digital,1,1,,,,,,,,1,,,,2,Mel,,,
Digital Decisions Tool,Center for Democracy & technology (CDT),https://www.cdt.info/ddtool/,7,,,USA,,,,Not included,tool,0,,,,,,,,,,1,,,1,Mel,,,
For technologists,Center for Humane Technology,https://www.humanetech.com/technologists#principles,,,,,,,,Not included,not AI ethics,0,,,,,,,1,,,,,,1,Mel,,,
Data Ethics Framework,Central Digital & Data Office,https://www.gov.uk/government/publications/data-ethics-framework/data-ethics-framework-2020,,,,UK,,,,included,digital,1,,,,,,,,,,1,,1,2,Mel,,,
COVID-19 repository and public attitudes retrospective,Centre for Data Ethics and Innovation,https://www.gov.uk/government/publications/covid-19-repository-and-public-attitudes-retrospective,,,,UK,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Review into Bias in Algorithmic Decision-making,Centre for Data Ethics and Innovation,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,,,,UK,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Mel,,,
Artificial Intelligence and Data Protection: How the GDPR Regulates AI,Centre for Information Policy Leadership (CIPL),https://www.huntonprivacyblog.com/wp-content/uploads/sites/28/2020/03/cipl-hunton_andrews_kurth_legal_note_-_how_gdpr_regulates_ai__12_march_2020_-1.pdf,,,,USA,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
The Brussels Effect and Artificial Intelligence: How EU regulation will impact the global AI market,Centre for the Governance of AI (GovAI),https://uploads-ssl.webflow.com/614b70a71b9f71c9c240c7a7/630534b77182a3513398500f_Brussels_Effect_GovAI.pdf,,,,UK,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
AI Governance: A Research Agenda,"Centre for the Governance of AI, Future of Humanity Institute, University of Oxford",https://www.fhi.ox.ac.uk/wp-content/uploads/GovAI-Agenda.pdf,,,,UK,,,,included,SPI,1,,,,,,,,,1,,,,1,Mel,,,
The Road to a Human-Centred Digital Society,Centre on AI Technology for Humanking (AiTH) at NUS Business School,https://drive.google.com/uc?export=download&id=1aRyqczni56ONA9PVExt2DrrJ1ATGKSu0,"David De Cremer, Devesh Narayanan, Andreas Deppeler, Mahak Nagpal, Jack McGuire, Jess Zhang",National University of Singapore,academia,Singapore,2021-12,,,included,,1,,,,,,,,,,,,,0,Mel,,,
Ethics in robotics research. CERNA Mission and Context,CERNA (Allistene),https://hal.archives-ouvertes.fr/hal-01849092/document,,,,France,,,,included,digital,1,1,,,,,,,,,,,,1,Mel,,,
"Facial Recognition Technology and the Growing Power of Artificial Intelligence: 
 Report of the Standing Committee on Access to
 Information, Privacy and Ethics",Chambre des communes (Canada),https://www.ourcommons.ca/Content/Committee/441/ETHI/Reports/RP11948475/ethirp06/ethirp06-e.pdf,,,,Canada,,,,included,SPI techno-specific,1,,,,,,,,,,1,,,1,Mel,,,
Charter of Digital Networking,Charta of digital networking,https://charta-digitale-vernetzung.de/app/uploads/2016/11/Charter-of-Digital-Networking.pdf,,,,Germany,,,,Not included,not AI ethics,0,,,,,,,,,1,,,,1,Mel,,,
Joint Pledge on Artificial Intelligence Industry Self-Discipline,Chinese AI Industry Alliance (AIIA),https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-ai-alliance-drafts-self-discipline-joint-pledge/,,,,China,,,,Not included,not in english,0,,1,,,,1,1,,1,1,,,5,Mel,,,
Building an AI World: Report on National and Regional AI Strategies,CIFAR,https://cifar.ca/wp-content/uploads/2020/05/buildinganaiworld_eng.pdf,,,,Canada,,,,included,SPI,1,,,,,,,,,,1,,,1,Mel,,,
Pan-Canadian Artificial Intelligence Strategy,CIFAR,https://www.cifar.ca/ai/pan-canadian-artificial-intelligence-strategy,,,,Canada,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Mel,,,
Toward a G20 Framework for Artificial Intelligence in the Workplace,CIGI Gentre for International Governance Innovation,https://www.cigionline.org/documents/1454/Paper%20No.178.pdf,,,,Canada,,,,included,SPI field-specific,1,,,,,,1,,,1,,,,2,Mel,,,
Digital Ethics: A guide for professionals of the Digital Age,CIGREF/Syntec Numérique,https://www.cigref.fr/wp/wp-content/uploads/2019/02/Cigref-Syntec-Digital-Ethics-Guide-for-Professionals-of-Digital-Age-2018-October-EN.pdf,,,,France,,,,included,SPI digital,1,,,,,,,,,1,1,,,2,Mel,,,
Declaration of Cities Coalition for Digital Right,Cities Coalition for Digital Rights,https://citiesfordigitalrights.org/assets/Declaration_Cities_for_Digital_Rights.pdf,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
